"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","Arduino_Nano_Every","Module:Arduino_Nano",""
"2","D1","1","36V0","Diode_THT:D_5W_P10.16mm_Horizontal",""
"3","D2","1","5V0","Diode_THT:D_5W_P10.16mm_Horizontal",""
"4","J1","1","Conn_01x01_Pin","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Horizontal",""
"5","J2","1","SSD1306 128x32","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"6","J3","1","GROUND","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"7","J4","1","+","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"8","Q2","1","2N7000","Package_TO_SOT_SMD:SOT-23",""
"9","R1, R11","2","100","Resistor_SMD:R_2512_6332Metric",""
"10","R2","1","5k","Resistor_SMD:R_0805_2012Metric",""
"11","R3, R6","2","100K","Resistor_SMD:R_0805_2012Metric",""
"12","R4","1","50K","Resistor_SMD:R_0805_2012Metric",""
"13","R5, R7, R8, R9, R10","5","10K","Resistor_SMD:R_0805_2012Metric",""
"14","SW1, SW2, SW3, SW4","4","Push_Button","Button_Switch_THT:SW_Tactile_SKHH_Angled",""
"15","U2","1","TL431LP","Package_TO_SOT_THT:TO-92_Inline",""
